CookerStat, GenerateAssetRegistry=0.040770, Initialize=0.187811, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_10, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9AA4DE4E4701965AF__C63D83CDC45CC080CF50CFE0957AB0378DDD66C3, StartTime=2019.01.05-16.54.02, HierarchicalDDC=, DataSize=2277, Duration=5.578574, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_11, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_EE__D3040A25BC4AE9F6CAC5D29BDDD6DCE2E0DCAD5E, StartTime=2019.01.05-17.04.26, HierarchicalDDC=, DataSize=10633, Duration=5.797423, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_9B2DDF654151C0ABA982E389CA3F8EA__D3116CEB195C36C1F830962E64FE00AEC081D874, StartTime=2019.01.05-17.04.26, HierarchicalDDC=, DataSize=4490, Duration=5.505186, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_13, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_9B2DDF654151C0ABA__4D5D73216EBE6F460C9A7813707180A068E213DB, StartTime=2019.01.05-17.04.26, HierarchicalDDC=, DataSize=1869, Duration=6.374534, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_14, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_B7__AF35473D0BC9FFAF963288AA9EBD4EB50FA0721B, StartTime=2019.01.05-17.05.04, HierarchicalDDC=, DataSize=18097, Duration=5.434953, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_EEC485EB435A391E84F124988C082B3__A85B9DA1E87F85FE8B8C1161EA46A0E57AB014A9, StartTime=2019.01.05-17.05.04, HierarchicalDDC=, DataSize=6370, Duration=7.135514, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_16, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_EEC485EB435A391E8__A217FE7D3C17739F6B110A0FE0D07874C5783C7A, StartTime=2019.01.05-17.05.04, HierarchicalDDC=, DataSize=2085, Duration=5.191643, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_17, PutCachedData=, CacheKey=STATICMESH_37403C6FB9441A6992E4CB614156E6A_8C68575CEF434CA8A9E1DA4AED8A47BB_D4__B5B4587DC23FE0D170A9DA0CFA921EA3EBA26416, StartTime=2019.01.05-17.10.54, HierarchicalDDC=, DataSize=8681, Duration=5.446531, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5564145448C767E2EA351CBE32AA493__58E42778FC82D0250FCDF91B79D274C86C05962B, StartTime=2019.01.05-17.10.54, HierarchicalDDC=, DataSize=3870, Duration=5.834512, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
DDCTransactionIdB3D5E1D840ED31EC7113F3BD39733F08_19, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_5564145448C767E2E__DD04C9193251760645C1224DD71B92B9E681B8B2, StartTime=2019.01.05-17.10.54, HierarchicalDDC=, DataSize=1845, Duration=4.399888, RunGuid=RunID68509AAB405A1B33CB916FB3FCE356F2
