CookerStat, GenerateAssetRegistry=0.037089, Initialize=0.198860, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_11, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_818DD9684908C77F38D1E58E9DE3F6C9__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=458, Duration=5.307130, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_12, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_2E252530436F6510E593F997DF6CD9DA__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=4.648737, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_13, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DDC2536742A93F379DAA0E9C7049D794__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=5.665656, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D299C2BC4570EC25DBF76D9175A5BBC9__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=6621, Duration=5.028043, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A203E878469A3A42BFC90CA6A134F52E__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=4.869163, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4008DCA94FA8B0A306A1C8AFA140A922__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=5.378150, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_14474CA74F009966391A1F884B3ADE08__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=4.047423, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_957B1FC84D395CC58C65FA8E36BF2E05__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=385, Duration=4.206564, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D49E36D64B141A014CE9CA87B2E314CD__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=4.325982, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_20, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_0DD8DC6244F4163A0B83C8AF6BFAD537__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=4.401215, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_21, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8F83E4904FDA27D5C70E019CF0C8BECA__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=423, Duration=5.218748, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_22, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_91E2CB054CB6B96C458CCDAA6918EDFE__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=4.356236, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_23, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_6AB3D7A3496DCAED3110D397CF60FFED__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=5.456537, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_24, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_ECC5C8E74AAD9C1C4CFFC68FE63283EC__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=461, Duration=5.567018, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_25, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_546C27B1445B3393AA83458650BD4EDC__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=4.958075, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_26, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_92F4FBC542E4EF8FB4A23D9EA322B493__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=5.140364, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_27, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4183EEBA4579F17E5505BB8321FC652F__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=499, Duration=4.456714, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_28, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_35A40C234A93B549C76C189E82C64425__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=409, Duration=6.406117, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
DDCTransactionIdA507F49D41BA896749AE8BBBDB4A7D3A_29, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_4E8D943D4348CA68E1936494701B5358__1_0_13123_0, StartTime=2019.01.09-17.18.10, HierarchicalDDC=, DataSize=347, Duration=6.916948, RunGuid=RunID4DA0FC5F4A658BE2B91CE5ABADA97A9A
